[2025-04-08T10:20:02.658+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:20:02.749+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:20:02.798+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:20:02.814+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:20:02.823+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:20:02.933+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:20:02.936+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:20:02.937+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:20:02.942+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:20:03.161+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:20:03.186+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:20:03.338+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T10:20:03.343+0000] {bronze.py:20} INFO - Página 15 retornou 50 registros.
[2025-04-08T10:20:03.372+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
[2025-04-08T10:20:03.449+0000] {bronze.py:20} INFO - Página 16 retornou 50 registros.
[2025-04-08T10:20:03.583+0000] {bronze.py:20} INFO - Página 19 retornou 50 registros.
[2025-04-08T10:20:03.594+0000] {bronze.py:20} INFO - Página 18 retornou 50 registros.
[2025-04-08T10:20:03.632+0000] {bronze.py:20} INFO - Página 17 retornou 50 registros.
[2025-04-08T10:20:03.679+0000] {bronze.py:20} INFO - Página 20 retornou 50 registros.
[2025-04-08T10:20:03.704+0000] {bronze.py:20} INFO - Página 21 retornou 50 registros.
[2025-04-08T10:20:03.720+0000] {bronze.py:20} INFO - Página 22 retornou 50 registros.
[2025-04-08T10:20:03.997+0000] {bronze.py:20} INFO - Página 25 retornou 50 registros.
[2025-04-08T10:20:03.999+0000] {bronze.py:20} INFO - Página 24 retornou 50 registros.
[2025-04-08T10:20:04.001+0000] {bronze.py:20} INFO - Página 23 retornou 50 registros.
[2025-04-08T10:20:04.083+0000] {bronze.py:20} INFO - Página 26 retornou 50 registros.
[2025-04-08T10:20:04.324+0000] {bronze.py:20} INFO - Página 27 retornou 50 registros.
[2025-04-08T10:20:04.328+0000] {bronze.py:20} INFO - Página 29 retornou 50 registros.
[2025-04-08T10:20:04.343+0000] {bronze.py:20} INFO - Página 28 retornou 50 registros.
[2025-04-08T10:20:04.347+0000] {bronze.py:20} INFO - Página 30 retornou 50 registros.
[2025-04-08T10:20:04.351+0000] {bronze.py:20} INFO - Página 31 retornou 50 registros.
[2025-04-08T10:20:04.364+0000] {bronze.py:20} INFO - Página 32 retornou 50 registros.
[2025-04-08T10:20:04.620+0000] {bronze.py:20} INFO - Página 33 retornou 50 registros.
[2025-04-08T10:20:04.675+0000] {bronze.py:20} INFO - Página 35 retornou 50 registros.
[2025-04-08T10:20:04.685+0000] {bronze.py:20} INFO - Página 34 retornou 50 registros.
[2025-04-08T10:20:04.736+0000] {bronze.py:20} INFO - Página 36 retornou 50 registros.
[2025-04-08T10:20:04.879+0000] {bronze.py:20} INFO - Página 38 retornou 50 registros.
[2025-04-08T10:20:04.893+0000] {bronze.py:20} INFO - Página 39 retornou 50 registros.
[2025-04-08T10:20:04.895+0000] {bronze.py:20} INFO - Página 37 retornou 50 registros.
[2025-04-08T10:20:04.908+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T10:20:04.969+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T10:20:04.985+0000] {bronze.py:20} INFO - Página 40 retornou 50 registros.
[2025-04-08T10:20:05.080+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T10:20:05.190+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
[2025-04-08T10:20:05.193+0000] {bronze.py:20} INFO - Página 45 retornou 50 registros.
[2025-04-08T10:20:05.217+0000] {bronze.py:20} INFO - Página 46 retornou 50 registros.
[2025-04-08T10:20:05.465+0000] {bronze.py:20} INFO - Página 47 retornou 50 registros.
[2025-04-08T10:20:05.887+0000] {bronze.py:20} INFO - Página 49 retornou 50 registros.
